2024-10-21 21:27:52.267 | INFO     | __main__:parse_products:93 - Вода Ессентуки №4 минеральная лечебно-столовая газированная, 1л x 6 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.268 | INFO     | __main__:parse_products:93 - Вода Святой Источник со вкусом персика питьевая негазированная, 500мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.268 | INFO     | __main__:parse_products:93 - Вода Aqua Minerale питьевая газированная, 260мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.268 | INFO     | __main__:parse_products:93 - Напиток соковый Святой Источник Лесные ягоды газированный, 500мл х 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.268 | INFO     | __main__:parse_products:93 - Вода Архыз Vita питьевая негазированная, 1.5л x 6 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.268 | INFO     | __main__:parse_products:93 - Вода Ессентуки №4 минеральная лечебно-столовая газированная, 1л | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.268 | INFO     | __main__:parse_products:93 - Вода Нарзан минеральная лечебно-столовая газированная, 500мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.268 | INFO     | __main__:parse_products:93 - Вода Aqua Minerale питьевая негазированная, 260мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.269 | INFO     | __main__:parse_products:93 - Вода Evian питьевая негазированная, 500мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.269 | INFO     | __main__:parse_products:93 - Вода Rare родниковая питьевая негазированная, 330мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.269 | INFO     | __main__:parse_products:93 - Напиток Perrier Лимон газированный, 330мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.269 | INFO     | __main__:parse_products:93 - Вода Ессентуки №4 минеральная лечебно-столовая газированная, 1.5л x 6 шт | Количество: 0 | Отсутствует в продаже
